rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1434,2100,Finance & Investments,Marc Lasry,62.0,United States,Hedge funds,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Finance & Investments,Christian Latouche & family,82.0,France,Accounting services,Finance,True,M,65.6,82.5,"$2,715,518,274,227 ",67059887.0
1434,2100,Sports,Theodore Leonsis,67.0,United States,Sports teams,Sports,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Manufacturing,Liu Chengyu & family,60.0,China,Power supply equipment,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Fashion & Retail,Sergey Lomakin,49.0,Cyprus,Retail,Fashion,True,M,75.9,80.8,"$24,564,647,935 ",1198575.0
1434,2100,Food & Beverage,Daniel Lubetzky,54.0,United States,Snack bars,Food,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Diversified,Anand Mahindra,67.0,India,Diversified,Diversified,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Fashion & Retail,Rafique Malik,72.0,India,Footwear,Fashion,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Diversified,Katarina Martinson,41.0,Sweden,Investments,Diversified,False,F,67.0,82.5,"$530,832,908,738 ",10285453.0
1434,2100,Healthcare,Kiran Mazumdar-Shaw,70.0,India,Biopharmaceuticals,Healthcare,True,F,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Automotive,Nirmal Minda,65.0,India,Auto parts,Automotive,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Technology,Mu Rongjun,43.0,China,E-commerce,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Finance & Investments,Alexander Nesis,60.0,Russian Federation,"Metals, banking, fertilizers",Finance,True,M,81.9,72.7,"$1,699,876,578,871 ",144373535.0
1434,2100,Manufacturing,Zugen Ni,66.0,China,Appliances,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Construction & Engineering,Florentino Perez,76.0,Spain,Construction,Construction,True,M,88.9,83.3,"$1,394,116,310,769 ",47076781.0
1434,2100,Metals & Mining,Victor Pinchuk,62.0,Ukraine,"Steel pipes, diversified",Mining,True,M,82.7,71.6,"$153,781,069,118 ",44385155.0
1434,2100,Technology,Leonid Radvinsky,40.0,United States,E-commerce,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Technology,Raveendran Byju,41.0,India,Education technology,Technology,True,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Construction & Engineering,P.P. Reddy,65.0,India,Infrastructure,Construction,True,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Fashion & Retail,Richard Saghian,41.0,United States,Fast fashion,Fashion,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Healthcare,Shi Yifeng,49.0,China,Medical cosmetics,Healthcare,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Finance & Investments,Thaksin Shinawatra,73.0,United Arab Emirates,Investments,Finance,True,M,36.8,77.8,"$421,142,267,938 ",9770529.0
